Xiaomi Mi 10T Pro 5G 8GB-128GB (No.00729072),10.490.000₫,"256GB
11.540.000₫
128GB
10.490.000₫","6.67"", FHD+, IPS LCD, 2440 x 1080 Pixel
108.0 MP + 13.0 MP + 5.0 MP
20.0 MP
Snapdragon 865
128 GB","Giảm ngay 1.500.000đ khi mua Online áp dụng đến 21/09
Trả góp 0%
Bảo hành 24 tháng
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Gói bảo hành rơi vỡ màn hình 1 lần trong 6 tháng Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","3 đánh giá
|
0 Hỏi & đáp"
Realme 8 Pro 8GB - 128GB (No.00750540),8.390.000₫,,"6.4"", FHD+, Super AMOLED, 1080 x 2400 Pixel
108.0 MP + 8.0 MP + 2.0 MP + 2.0 MP
16.0 MP
Snapdragon 720G
128 GB","Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
0 Hỏi & đáp"
Xiaomi Redmi K40 Pro (No.00488),Het Hang
Samsung Galaxy A12 4GB-128GB (No.00725256),3.899.000₫,,"6.5"", HD+, TFT LCD, 720 x 1600 Pixel
48.0 MP + 5.0 MP + 2.0 MP + 2.0 MP
8.0 MP
Helio G35
128 GB","Giảm ngay 400.000đ áp dụng đến 24/09
Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","7 đánh giá
|
0 Hỏi & đáp"
Nokia 9.3 PureView (No.00263),Het Hang
Vivo Nex 3 (No.00075),Het Hang
Vivo V21 5G 8GB - 128GB (No.00751241),9.490.000₫,,"6.44"", FHD+, AMOLED, 2404 x 1080 Pixel
64.0 MP + 8.0 MP + 2.0 MP
44.0 MP
MediaTek Dimensity 800U
128 GB","Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
0 Hỏi & đáp"
Realme 7 5G (No.00491),Het Hang
Xiaomi Black Shark 3 (No.00172),Het Hang
Microsoft Surface Duo (No.00306),Het Hang
U,n,k,n,o,w,n
Huawei Mate 30 (No.00079),Het Hang
Vivo Y1s 2GB-32GB (No.00701495),2.450.000₫,,"6.22"", HD+, IPS LCD, 720 x 1520 Pixel
13.0 MP
5.0 MP
MediaTek Helio P35
32 GB",Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết,"1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
Nokia 5310 (2020) (No.00676228),1.000.000₫,,"2.4"", QVGA, TFT, 320 x 240 Pixel
0.3 MP
4 MB",Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết,"42 đánh giá
|
159 Hỏi & đáp"
LG Stylo 6 (No.00312),Het Hang
OPPO Reno6 Z 5G (No.00761060),9.490.000₫,,"6.43"", FHD+, AMOLED, 1080 x 2400 Pixel
64.0 MP + 8.0 MP + 2.0 MP
32.0 MP
MediaTek Dimensity 800U
128 GB","Bảo hành 2 năm
Trả góp 0%
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","3 đánh giá
|
147 Hỏi & đáp"
Huawei P30 Lite New Edition (No.00175),Het Hang
U,n,k,n,o,w,n
Samsung Galaxy A90 5G (No.00070),Het Hang
Realme C11 2GB-32GB (No.00701497),2.690.000₫,,"6.5"", HD+, IPS LCD, 720 x 1600 Pixel
13.0 MP + 2.0 MP
5.0 MP
Mediatek Helio G35
32 GB",Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết,"2 đánh giá
|
424 Hỏi & đáp"
Honor Play 3e (No.00030),Het Hang
Nokia 6.3 (No.00369),Het Hang
Honor V30 (No.00127),Het Hang
Xiaomi Redmi Note 9 Pro 5G (No.00474),Het Hang
Huawei Nova 7 SE 5G Youth (No.00444),Het Hang
Nokia 110 DS 4G (No.00760877),810.000₫,,"1.8"", QQVGA, QVGA
0.08 MP
Unisoc T107
128 MB",Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết,"1 đánh giá
|
0 Hỏi & đáp"
Huawei P Smart Pro 2019 (No.00134),Het Hang
Xiaomi Redmi 9T 4GB-64GB (No.00747630),3.390.000₫,"6GB-128GB
4.090.000₫
4GB-64GB
3.390.000₫","6.53"", FHD+, IPS LCD, 1080 x 2340 Pixel
48.0 MP + 8.0 MP + 2.0 MP + 2.0 MP
8.0 MP
Snapdragon 662
64 GB","Giảm ngay 600.000đ
Trả góp 0%
Bảo hành 18 tháng
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
505 Hỏi & đáp"
Realme C15 4GB-64GB (No.00722663),3.790.000₫,,"6.52"", HD+, LCD, 720 x 1600 Pixel
13.0 MP + 8.0 MP + 2.0 MP + 2.0 MP
8.0 MP
64 GB","Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
411 Hỏi & đáp"
Huawei Mate 30 5G (No.00094),Het Hang
Nokia 8 V 5G UW (No.00472),Het Hang
Vivo iQOO Neo 3 (No.00264),Het Hang
Vivo Y21s 4GB+1GB - 128GB (No.00772979),5.290.000₫,"4GB
5.290.000₫
6GB
5.990.000₫","6.51"", HD+, IPS LCD, 720 x 1600 Pixel
50.0 MP + 2.0 MP + 2.0 MP
8.0 MP
Helio G80
128 GB",Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết,"1 đánh giá
|
8 Hỏi & đáp"
Samsung Galaxy A51 5G (No.00245),Het Hang
Xiaomi Redmi 9 Prime (No.00373),Het Hang
OPPO A32 (No.00404),Het Hang
Samsung Galaxy A52 (No.00737236),9.299.000₫,,"6.5"", FHD+, Super AMOLED, 1080 x 2400 Pixel
64.0 MP + 12.0 MP + 5.0 MP + 5.0 MP
32.0 MP
Snapdragon 720G
128 GB","Trả góp 0%
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","4 đánh giá
|
289 Hỏi & đáp"
Xiaomi Redmi K30S (No.00442),Het Hang
Xiaomi POCO C3 (No.00431),Het Hang
Xiaomi Redmi Note 10S 8GB-128GB (No.00752138),6.290.000₫,,"6.43"", FHD+, AMOLED, 1080 x 2400 Pixel
64.0 MP + 8.0 MP + 2.0 MP + 2.0 MP
13.0 MP
MediaTek Helio G95
128 GB","Giảm ngay 200.000đ
Trả góp 0%
Bảo hành 18 tháng
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","2 đánh giá
|
124 Hỏi & đáp"
iPhone 12 Pro Max 128GB (No.00714499),30.499.000₫,"128GB
30.499.000₫
256GB
34.499.000₫
512GB
39.999.000₫","6.7"", Super Retina XDR, OLED, 2778 x 1284 Pixel
12.0 MP + 12.0 MP + 12.0 MP
12.0 MP
A14 Bionic
128 GB","Tặng gói iCloud 50GB miễn phí 3 tháng Xem chi tiết
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng Bảo hành 2 năm chính hãng
Giảm ngay 20% Ốp lưng chính hãng khi mua kèm iPhone
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","58 đánh giá
|
2302 Hỏi & đáp"
U,n,k,n,o,w,n
Realme C12 3GB-32GB (No.00708437),3.290.000₫,,"6.52"", HD+, IPS LCD, 720 x 1600 Pixel
13.0 MP + 2.0 MP + 2.0 MP
5.0 MP
Helio G35
32 GB","Giảm ngay 200.000đ
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
477 Hỏi & đáp"
Xiaomi Redmi Note 10 5G 4GB-128GB (No.00752145),5.290.000₫,,"6.5"", FHD+, IPS LCD, 1080 x 2400 Pixel
48.0 MP + 2.0 MP + 2.0 MP
8.0 MP
MediaTek Dimensity 700
128 GB","Trả góp 0%
Bảo hành 18 tháng
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","2 đánh giá
|
117 Hỏi & đáp"
Meizu 17 (No.00170),Het Hang
Realme X2 (No.00101),Het Hang
OPPO Find X3 Pro 5G (No.00752202),26.990.000₫,,"6.7"", QHD+, AMOLED, 1440 x 3216 Pixel
50.0 MP + 50.0 MP + 13.0 MP + 3.0 MP
32.0 MP
Snapdragon 888
256 GB","Trả góp 0%
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
0 Hỏi & đáp"
Xiaomi Poco M3 (No.00476),Het Hang
Vivo X70 Pro 12GB+4GB - 256GB (No.00773317),Het Hang
Xiaomi Mi Mix Alpha (No.00076),Het Hang
U,n,k,n,o,w,n
Honor V30 Pro (No.00128),Het Hang
Huawei Y6s (2019) (No.00131),Het Hang
Vivo Y20s 6GB - 128GB (No.00713265),4.690.000₫,,"6.51"", HD+, IPS LCD, 720 x 1600 Pixel
13.0 MP + 2.0 MP + 2.0 MP
8.0 MP
Snapdragon 460
128 GB",Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết,"2 đánh giá
|
493 Hỏi & đáp"
Samsung Galaxy S21 Ultra 128GB (No.00726762),25.999.000₫,"128GB
25.999.000₫
256GB
28.999.000₫","6.8"", WQHD+, Dynamic AMOLED 2X, 1440 x 3200 Pixel
108.0 MP + 10.0 MP + 12.0 MP + 10.0 MP
40.0 MP
Exynos 2100
128 GB","Giảm ngay 5.000.000đ
Trả góp 0%
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
0 Hỏi & đáp"
Xiaomi Mi 10 Youth Edition (No.00261),Het Hang
Huawei Mate 40 RS Porsche Design (No.00446),Het Hang
Realme X2 Pro (No.00102),Het Hang
LG V60 ThinQ (No.00153),Het Hang
Vivo Y53s 8GB+3GB - 128GB (No.00756474),6.290.000₫,,"6.58"", FHD+, IPS LCD, 2408 x 1080 Pixel
64.0 MP + 2.0 MP + 2.0 MP
16.0 MP
Helio G80
128 GB","Giảm ngay 700.000đ khi mua Online áp dụng đến 21/09
Trả góp 0%
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
11 Hỏi & đáp"
iPhone SE (2020) 64GB (No.00720579),10.499.000₫,,"4.7"", Retina HD, IPS LCD, 750 x 1334 Pixel
12.0 MP
7.0 MP
A13 Bionic
64 GB","Tặng gói iCloud 50GB miễn phí 3 tháng Xem chi tiết
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","70 đánh giá
|
675 Hỏi & đáp"
iPhone 12 64GB (No.00719656),19.499.000₫,"64GB
19.499.000₫
128GB
21.999.000₫
256GB
Ngừng kinh doanh","6.1"", Super Retina XDR, OLED, 2532 x 1170 Pixel
12.0 MP + 12.0 MP
12.0 MP
A14 Bionic
64 GB","Tặng gói iCloud 50GB miễn phí 3 tháng Xem chi tiết
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng Bảo hành 2 năm chính hãng
Giảm ngay 20% Ốp lưng chính hãng khi mua kèm iPhone
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","39 đánh giá
|
1539 Hỏi & đáp"
ZTE Blade A7s 2020 (No.00501),Het Hang
U,n,k,n,o,w,n
Vivo Y5s (No.00119),Het Hang
OPPO A54 4GB-128GB (No.00749015),4.690.000₫,,"6.5"", HD+, LCD, 720 x 1600 Pixel
13.0 MP + 2.0 MP + 2.0 MP
16.0 MP
Helio P35
128 GB","Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
Xiaomi Mi 9T Pro (No.00065),Het Hang
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Masstel Izi 230 (No.00705675),380.000₫,,"2.4"", QVGA, TFT, 240 x 320 Pixels
0.08 MP
32 MB",Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết,"1 đánh giá
|
0 Hỏi & đáp"
Realme Narzo 30A 4GB - 64GB (No.00752184),3.790.000₫,,"6.5"", HD+, IPS LCD, 720 x 1600 Pixel
13.0 MP + 2.0 MP
8.0 MP
Helio G85
64 GB","Giảm ngay 200.000đ
Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
208 Hỏi & đáp"
Nokia C30 3GB-32GB (No.00771450),2.790.000₫,,"6.82"", HD+, IPS LCD, 720 x 1600 Pixel
13.0 MP + 2.0 MP
5.0 MP
SC9863A
32 GB","Giảm ngay 200.000đ
Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
19 Hỏi & đáp"
Oppo A15 3GB-32GB (No.00731360),3.490.000₫,,"6.52"", HD+, LCD, 720 x 1600 Pixel
13.0 MP + 2.0 MP + 2.0 MP
8.0 MP
Helio P35
32 GB","Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
358 Hỏi & đáp"
Xiaomi Mi Note 10 (No.00115),Het Hang
OPPO A93 8GB-128GB (No.00716465),6.290.000₫,,"6.43"", FHD+, AMOLED, 1080 x 2400 Pixel
48.0 MP + 8.0 MP + 2.0 MP + 2.0 MP
16.0 MP + 2.0 MP
Mediatek Helio P95
128 GB","Giảm ngay 200.000đ
Trả góp 0%
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","6 đánh giá
|
809 Hỏi & đáp"
Xiaomi Mi 10 Ultra (No.00375),Het Hang
U,n,k,n,o,w,n
OPPO A33 2020 (No.00421),Het Hang
U,n,k,n,o,w,n
Honor 8S (No.00097),Het Hang
Xiaomi Redmi 10 4GB-128GB (No.00771091),4.290.000₫,"128 GB
4.290.000₫
64 GB
3.990.000₫","6.5"", FHD+, IPS LCD, 1080 x 2400 Pixel
50.0 MP + 8.0 MP + 2.0 MP + 2.0 MP
8.0 MP
MediaTek Helio G88
128 GB","Trả góp 0%
Bảo hành 18 tháng
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
304 Hỏi & đáp"
Nokia 5.4 4GB -128GB (No.00733908),3.490.000₫,,"6.39"", HD+, IPS LCD, 720 x 1560 Pixel
48.0 MP + 5.0 MP + 2.0 MP + 2.0 MP
16.0 MP
Snapdragon 662
128 GB","Giảm ngay 700.000đ khi mua Online áp dụng đến 23/09
Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","35 đánh giá
|
657 Hỏi & đáp"
Xiaomi Redmi 10X 5G (No.00319),Het Hang
U,n,k,n,o,w,n
Huawei Y8p (No.00310),Het Hang
Oppo Reno6 5G (No.00761063),12.990.000₫,,"6.43"", FHD+, AMOLED, 1080 x 2400 Pixel
64.0 MP + 8.0 MP + 2.0 MP
32.0 MP
MediaTek Dimensity 900 5G
128 GB","Bảo hành 2 năm
Trả góp 0%
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
197 Hỏi & đáp"
Huawei P30 Pro New Edition (No.00290),Het Hang
Huawei P40 Lite (No.00174),Het Hang
OPPO X 2021 (No.00484),Het Hang
Xiaomi Redmi Note 8T (No.00117),Het Hang
U,n,k,n,o,w,n
Xiaomi Redmi K30 5G Tracing (No.00308),Het Hang
LG Q52 (No.00464),Het Hang
HONOR 7x (No.731046),Het Hang
Honor V40 (No.00469),Het Hang
Sony Xperia 1 (No.00064),Het Hang
Realme C20 2GB-32GB (No.00736774),2.690.000₫,,"6.5"", HD+, IPS LCD, 720 x 1600 Pixel
8.0 MP
5.0 MP
Mediatek Helio G35
32 GB",Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết,"1 đánh giá
|
138 Hỏi & đáp"
Asus ZenFone 7 (No.00151),Het Hang
Samsung Galaxy S21+ 128GB (No.00726760),20.999.000₫,"128GB
20.999.000₫
256GB
23.999.000₫","6.7"", FHD+, Dynamic AMOLED 2X, 1080 x 2400 Pixel
12.0 MP + 12.0 MP + 64.0 MP
10.0 MP
Exynos 2100
128 GB","Giảm ngay 5.000.000đ
Trả góp 0%
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","2 đánh giá
|
239 Hỏi & đáp"
Samsung Galaxy A42 5G (No.00395),Het Hang
Samsung Galaxy A22 5G (No.00764925),5.899.000₫,"5G
5.899.000₫
4G
5.899.000₫","6.6"", FHD+, TFT LCD, 1080 x 2400 Pixel
48.0 MP + 5.0 MP + 2.0 MP
8.0 MP
MediaTek Dimensity 700
128 GB","Giảm ngay 400.000đ áp dụng đến 24/09
Trả góp 0%
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Quà tặng Galaxy trị giá 480.000đ Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","5 đánh giá
|
0 Hỏi & đáp"
Vivo Y3 (No.00060),Het Hang
U,n,k,n,o,w,n
Huawei P Smart S (No.00296),Het Hang
Realme C25 4GB-128GB (No.00747620),4.690.000₫,,"6.5"", HD+, LCD, 720 x 1600 Pixel
48.0 MP + 2.0 MP + 2.0 MP
8.0 MP
Helio G70
128 GB","Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
46 Hỏi & đáp"
Huawei Enjoy 10 (No.00107),Het Hang
Realme C15 Qualcomm Edition (No.00463),Het Hang
U,n,k,n,o,w,n
Wiko Y60 (No.00454),Het Hang
Asus ROG Phone II (No.00355),Het Hang
Vivo U3 (No.00110),Het Hang
OnePlus 8T (No.00461),Het Hang
Vivo Y72 5G 8GB-128GB (No.00749011),7.590.000₫,,"6.58"", FHD+, IPS LCD, 2340 x 1080 Pixel
64.0 MP + 8.0 MP + 2.0 MP
16.0 MP
MediaTek Dimensity 700
128 GB","Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
45 Hỏi & đáp"
OPPO F17 Pro (No.00397),Het Hang
Samsung Galaxy A52s 5G (No.00772654),9.990.000₫,,"6.5"", FHD+, Super AMOLED, 1080 x 2400 Pixel
64.0 MP + 12.0 MP + 5.0 MP + 5.0 MP
32.0 MP
Snapdragon 778G
128 GB","Giảm ngay 1.000.000đ áp dụng với khách hàng đặt cọc trước 24/09
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết
Trả góp 0%
Ưu đãi Quà tặng Galaxy trị giá đến 1.000.000đ (áp dụng tại Phúc Long. Grab. Decathlon Sports Vietnam) Xem chi tiết","1 đánh giá
|
30 Hỏi & đáp"
Nokia C5 Endi (No.00325),Het Hang
Wiko View3 Lite (No.00455),Het Hang
U,n,k,n,o,w,n
U,n,k,n,o,w,n
OnePlus 8 (No.00150),Het Hang
OPPO A73 6GB-128GB (No.00739888),5.490.000₫,,"6.44"", FHD+, AMOLED, 1080 x 2400 Pixel
16.0 MP + 8.0 MP + 2.0 MP + 2.0 MP
16.0 MP
Snapdragon 662
128 GB","Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","2 đánh giá
|
397 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Vivo V17 6GB-128GB (No.00608807),Het Hang
Xiaomi Mi 9 Pro (No.00092),Het Hang
U,n,k,n,o,w,n
Huawei nova 5z (No.00109),Het Hang
iPhone 12 64GB (No.00719656),19.499.000₫,"64GB
19.499.000₫
128GB
21.999.000₫
256GB
Ngừng kinh doanh","6.1"", Super Retina XDR, OLED, 2532 x 1170 Pixel
12.0 MP + 12.0 MP
12.0 MP
A14 Bionic
64 GB","Tặng gói iCloud 50GB miễn phí 3 tháng Xem chi tiết
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng Bảo hành 2 năm chính hãng
Giảm ngay 20% Ốp lưng chính hãng khi mua kèm iPhone
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","39 đánh giá
|
1539 Hỏi & đáp"
U,n,k,n,o,w,n
Xiaomi Mi 10 Pro Plus (No.00361),Het Hang
U,n,k,n,o,w,n
OPPO F17 (No.00396),Het Hang
Asus ROG Phone 3 Strix (No.00356),Het Hang
iPhone XR 64GB (No.00720575),11.999.000₫,"64GB
11.999.000₫
128GB
Ngừng kinh doanh
256GB
Ngừng kinh doanh","6.1"", Liquid Retina HD, IPS LCD, 828 x 1792 Pixel
12.0 MP
7.0 MP
A12 Bionic
64 GB","Tặng gói iCloud 50GB miễn phí 3 tháng Xem chi tiết
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","125 đánh giá
|
3015 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Samsung Galaxy Z Flip (No.00740305),19.999.000₫,,"6.7"", FHD+, Chính: Dynamic AMOLED, phụ: Super AMOLED, 1080 x 2636 Pixel
12.0 MP + 12.0 MP
10.0 MP
Snapdragon 855+
256 GB","Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","41 đánh giá
|
348 Hỏi & đáp"
OPPO A15s 4GB-64GB (No.00737247),3.990.000₫,,"6.52"", HD+, LCD, 720 x 1600 Pixel
13.0 MP + 2.0 MP + 2.0 MP
8.0 MP
MediaTek Helio P35
64 GB","Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
153 Hỏi & đáp"
U,n,k,n,o,w,n
OnePlus 9 (No.00462),Het Hang
Huawei Y7a (No.00443),Het Hang
Vivo iQOO Z1 (No.00295),Het Hang
U,n,k,n,o,w,n
LG K41S (No.00167),Het Hang
Huawei Mate Xs (No.00173),Het Hang
Xiaomi Redmi K30 5G (No.00133),Het Hang
Samsung Galaxy A03s (No.00771062),3.699.000₫,,"6.5"", HD+, PLS TFT LCD, 720 x 1600 Pixel
13.0 MP + 2.0 MP + 2.0 MP
13.0 MP
MediaTek MT6765
64 GB","Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
108 Hỏi & đáp"
Nokia 2.4 (No.00718843),2.290.000₫,,"6.5"", HD+, IPS LCD, 720 x 1600 Pixel
13.0 MP + 2.0 MP
5.0 MP
32 GB","Giảm ngay 400.000đ
Trả góp 0%
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
0 Hỏi & đáp"
Honor 8A 2020 (No.00247),Het Hang
Samsung Galaxy M31 (No.00673722),6.490.000₫,,"6.4"", FHD+, Super AMOLED, 1080 x 2340 Pixel
64.0 MP + 8.0 MP + 5.0 MP + 5.0 MP
32.0 MP
Exynos 9611
128 GB","Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","177 đánh giá
|
3737 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Realme X7 Pro (No.00385),Het Hang
Nokia 8000 DS 4G (No.00725655),1.490.000₫,,"2.8"", QVGA, TFT, 320 x 240 Pixel
2.0 MP
4 GB","Giảm ngay 300.000đ
Thu cũ đổi mới - Trợ giá ngay 15% Xem chi tiết","1 đánh giá
|
128 Hỏi & đáp"
